section_title,title,rating_and_volume,rating,volume_of_ratings,bio,url,shop_app_url
Women,Poppy & Peonies,4.5(12.6K),4.5,12600.0,"Poppy & Peonies offers trendy, affordable and versatile handbags that can be worn multiple ways to suit the many events in your life.",https://poppyandpeonies.com/,https://shop.app/m/9kd8e6u4nq
Women,Amos & Andes Canada Inc,4.9(8),4.9,8.0,"Sweaters and knitted accessories available to buy online or in our Whistler retail store. Offering traditional sweaters from Dale of Norway, Cowichan, Ivko and Ireland.",https://whistlersweatershop.com/,https://shop.app/m/kajxcb4z96
Women,Le Manoir®,4.7(539),4.7,539.0,Everything nails and beauty.,https://lemanoir.com/,https://shop.app/m/u592qyh8vk
Women,Eliza Faulkner Designs Inc.,4.8(35),4.8,35.0,Eliza Faulkner is a Canadian fashion designer.  Her contemporary women’s clothing label is designed and ethically made in Montreal.,https://elizafaulkner.com/,https://shop.app/m/up3a7890w2
Women,Strawberry Milk Mob,4.7(10.4K),4.7,10400.0,Cute bikinis for Cute prices,https://strawberrymilkmob.com/,https://shop.app/m/tbdxw540p6
Women,Lisa Gozlan,4.7(638),4.7,638.0,"Inspiring confidence and style through elevated, modern design.",https://lisagozlan.com/,https://shop.app/m/x0bnk238me
Women,Pyrrha,4.9(100),4.9,100.0,"Tell your story with a talisman that speaks to who you are, where you’ve been, and where you’re going.
Carbon-neutral B Corp
Member of 1% for the Planet",https://pyrrha.com/,https://shop.app/m/v2ucanm8yq
Women,Rudsak,4.6(601),4.6,601.0,"Proudly designed in Canada since 1994, our exclusive outerwear is expertly crafted to keep you warm while elevating your personal style.",https://rudsak.com/,https://shop.app/m/yp6wh7fx8r
Women,ORAKI,4.8(16.9K),4.8,16900.0,"Vêtements de détente et de sport durables fabriqués à partir de matières recyclées et fibres naturelles, au Canada. Conçus par des femmes, pour les femmes.",https://oraki.ca/,https://shop.app/m/rpetx6yg7h
Women,Uncle Studios,4.8(94),4.8,94.0,be good. do good.,https://unclexstudios.com/,https://shop.app/m/5un0ekfj98
Women,Gentle Fawn,4.6(371),4.6,371.0,"We design feminine, effortless pieces; perfect for your everyday wardrobe.",https://gentlefawn.com/,https://shop.app/m/prq0cyxeb8
Women,harly jae,4.8(39),4.8,39.0,Feminine and vintage-inspired womenswear designed to follow you in your journey towards a conscious lifestyle.,https://harlyjae.com/,https://shop.app/m/0h57z98tvm
Women,MACKAGE® CANADA OFFICIAL,4.8(111),4.8,111.0,Aesthetics that protect ™,https://mackage.ca/,https://shop.app/m/r7jw32zpkv
Women,T,4.9(12),4.9,12.0,Toronto Independent Women's Clothing Store,https://shoptusk.ca/,https://shop.app/m/dnf0h3u5mv
Women,COUTUKITSCH,4.8(817),4.8,817.0,Carefully curated accessories and handcrafted jewelry lovingly made with high quality plated metals.,https://coutukitsch.com/,https://shop.app/m/rd8gcxt4bw
Women,Mejuri,4.7(2.4K),4.7,2400.0,Fine jewelry for every day.,https://checkout-ca.mejuri.com/,https://shop.app/m/xhqrngpej0
Women,Danier,4.5(3.8K),4.5,3800.0,,https://danier.com/,https://shop.app/m/f2pc9vgh1j
Women,Slowly Slowly,5(18),5.0,18.0,,https://shopslowlyslowly.ca/,https://shop.app/m/3h6kmn2c7f
Women,Blundstone Canada,4.8(685),4.8,685.0,,https://blundstone.ca/,https://shop.app/m/h7tdg6xnup
Women,L'INTERVALLE,4.2(1.8K),4.2,1800.0,Fashion Footwear & Accessory Brand | Chaussures et accessoires de mode durable.,https://lintervalleshoes.com/,https://shop.app/m/ht4fbr7dwk
Women,Knix Canada,4.5(120.6K),4.5,120600.0,"We make amazing wireless bras, period proof underwear, sports bras, loungewear and more. Designed with your comfort in mind.",https://checkout.knix.ca/,https://shop.app/m/qpu1ea7dbt
Women,Ron White Shoes,4.5(50),4.5,50.0,,https://ronwhiteshoes.com/,https://shop.app/m/qy8prav4m0
Women,Sheertex,4.2(5.6K),4.2,5600.0,"Discover the strongest sheers in the world. From regular and thigh-high to shorties and socks, you’ll quickly find the perfect Sheertex pair for your needs.",https://checkout.sheertex.com/,https://shop.app/m/qdar7951g6
Women,heel boy,4.6(124),4.6,124.0,follow us @heelboy,https://heelboy.com/,https://shop.app/m/vf45je67pz
Women,Kōv Essentials,4.6(2.7K),4.6,2700.0,Redefining hair essentials,https://kovessentials.com/,https://shop.app/m/ud73tpa498
Women,Daytime People,5(3),5.0,3.0,Clothing and textiles for daytime or anytime. Made respectfully.,https://daytimepeople.ca/,https://shop.app/m/d0qu4rn1kb
Women,EVRYJEWELS,4.4(141.7K),4.4,141700.0,Evry Jewels • Best online jewelry store for fashion-forward and affordable pieces.,https://evryjewels.com/,https://shop.app/m/buazgcxqve
Women,Frank And Oak Canada,4.5(27.3K),4.5,27300.0,Made for Good Living.,https://ca.frankandoak.com/,https://shop.app/m/v80f7wdz1c
Women,BAHHGOOSE,Powered,,,Ethical Handcrafted Signature Collection.,https://bahhgoose.com/,https://shop.app/m/1e9avw5fpc
Women,BOHÈME,5(108),5.0,108.0,for all our bodies,https://bohemegoods.com/,https://shop.app/m/jtn50qxyzm
Women,Numi,4.3(1.6K),4.3,1600.0,Numi creates solution-based products that simplify and empower women’s lives.,https://wearnumi.com/,https://shop.app/m/m6203gqhdf
Women,Kotn,4.7(1K),4.7,1000.0,For lasting ways of life. Certified B Corp.,https://shop.kotn.com/,https://shop.app/m/0z1hk89qxv
Women,Poppy Barley,4.8(12.3K),4.8,12300.0,Luxury for the people and planet.,https://poppybarley.com/,https://shop.app/m/yz25tjpeua
Women,Hillberg & Berk,4.7(22.6K),4.7,22600.0,Canadian. Women-Owned. Demi-Fine Jewelry.,https://hillbergandberk.com/,https://shop.app/m/9za3x5jwe1
Women,Kit and Ace,4.6(3.1K),4.6,3100.0,"For people who choose Optimism 
and clothing you can go anywhere in.",https://kitandace.com/,https://shop.app/m/x3ucetpar8
